"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
-155.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-154.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-153.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-152.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-151.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-150.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-149.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-148.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-147.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-146.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-145.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-144.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-143.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-142.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-141.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-140.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-139.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-112.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-111.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-110.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-109.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-107.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-106.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-105.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-104.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-103.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-102.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-101.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-100.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-99.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-98.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-97.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-96.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-95.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-94.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-93.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-92.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-91.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-90.5,64.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
11.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
12.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
13.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
14.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
15.5,64.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
